"CO_ENTIDADE","nome_escola_2020","situacao_2021","dependencia","rede","matriculas_2020","address","Latitude","Longitude "
35179711,"JANELINHAS DO SABER RECREACAO INFANTIL","paralisada_2021","3_privada_nao_conveniada","privada",13,"RUA JORGE DE OLIVEIRA PRADO, 29 RUA. JARDIM BROTINHO. 06604-270 Jandira - SP.","-46.9072708"," -23.5401993"
35572731,"CRIANCA FELIZ EMEB","paralisada_2021","1_publica","pública ou conveniada",114,"FERNANDO PESSOA, 48 RUA. JARDIM SOROCABANO. 06606-040 Jandira - SP.","-46.906243"," -23.534309"
35503708,"COLEGIO JUQUITIBA","extinta_2021","3_privada_nao_conveniada","privada",36,"BRIGADEIRO FARIA LIMA, 27 RUA. CENTRO. 06950-000 Juquitiba - SP.","-47.0652434"," -23.934535"
35005008,"GERACAO DO BEN","extinta_2021","3_privada_nao_conveniada","privada",19,"EPONINA DE SOUZA SENA, 53 JARDIM ESTRELA. 09340-485 Mauá - SP.","NaN"," NaN"
35498762,"CANTINHO DOS BAIXINHOS ESCOLA INFANTIL","extinta_2021","3_privada_nao_conveniada","privada",53,"CASTELO BRANCO PRESIDENTE, 482 AVENIDA. JARDIM ZAIRA. 09321-375 Mauá - SP.","-46.4483231"," -23.6608064"
35584174,"RECANTO INFANTIL ILHA DA FANTASIA","extinta_2021","3_privada_nao_conveniada","privada",13,"MANSUR JOSE SADEK, 723 AVENIDA. JARDIM ZAIRA. 09321-030 Mauá - SP.","-46.43374583"," -23.65340994"
35584186,"CENTRO EDUCACIONAL BRILHANTE TURMINHA","extinta_2021","3_privada_nao_conveniada","privada",18,"MIOSOTIS, 200 RUA. JARDIM PRIMAVERA. 09361-290 Mauá - SP.","-46.4575245"," -23.6982064"
35005385,"NUCLEO DE EDUCACAO E RECREACAO ESTRELA DA MANHA","extinta_2021","3_privada_nao_conveniada","privada",54,"CAPITAO JOAQUIM DE MELLO FREIRE, 270 VILA VITORIA. 08730-440 Mogi das Cruzes - SP.","-46.2068313"," -23.532875"
35109514,"VITORIA CENTRO DE EDUCACAO INFANTIL COMUNITARIO","paralisada_2021","2_privada_conveniada","pública ou conveniada",40,"RUA A, 58 RUA. VILA MORAES. 08766-520 Mogi das Cruzes - SP.","-46.1870946"," -23.5783642"
35175833,"SANTA CLARA ENSINO EDUCACIONAL INFANTIL","extinta_2021","3_privada_nao_conveniada","privada",21,"AVENIDA CAPITAO MANOEL RUDGE, 1006 AVENIDA. PARQUE MONTE LIBANO. 08780-290 Mogi das Cruzes - SP.","-46.1799114"," -23.5203891"
35289000,"ESTRELA DE DAVI NUCLEO INFANTIL DE EDUCACAO POR PRINCIPIOS","paralisada_2021","3_privada_nao_conveniada","privada",13,"CARDOSO DE SIQUEIRA CORONEL, 1928 RUA. VILA OLIVEIRA. 08795-020 Mogi das Cruzes - SP.","-46.1770379"," -23.5321513"
35005908,"ESCOLA DE EDUCACAO INFANTIL NOVA GERACAO UNIDADE II","paralisada_2021","3_privada_nao_conveniada","privada",7,"SANTO ANTONIO, 2502 VILA OSASCO. 06083-205 Osasco - SP.","NaN"," NaN"
35006235,"BERCARIO E EDUCACAO INFANTIL CORDEL DA VILA","paralisada_2021","3_privada_nao_conveniada","privada",128,"DOUTOR MARTIN LUTHER KING, 2697 UMUARAMA. 06030-000 Osasco - SP.","NaN"," NaN"
35006459,"ESCOLA DE EDUCACAO E RECREACAO INFANTIL NOVA HISTORIA","paralisada_2021","3_privada_nao_conveniada","privada",8,NA,"NA"," NA"
35007147,"CONSTRUINDO O SABER","paralisada_2021","3_privada_nao_conveniada","privada",7,NA,"NA"," NA"
35152377,"PIMPAO ESCOLA EDUCACAO INFAMTIL","paralisada_2021","3_privada_nao_conveniada","privada",33,"RUA ANGELO ALBERTO NESTI, 106 RUA. JARDIM HELENA. 06053-060 Osasco - SP.","-46.7916611"," -23.5651282"
