"CO_ENTIDADE","nome_escola_2020","situacao_2021","dependencia","matriculas_2020","address","Latitude","Longitude ","rede"
35150733,"SANTA MARIA DE NAZARE COLEGIO UNIDADE I","extinta_2021","3_privada_nao_conveniada",93,"RUA UACUMA, 50 UNIDADE I. JARDIM SANTA MARIA. 03575-000 São Paulo - SP.","-46.5096175"," -23.5577165","privada"
35151804,"COLEGIO SAO BENTO DE NURSIA DE EI E EF","paralisada_2021","3_privada_nao_conveniada",5,"RUA JOSE PINTO DE ALMEIDA, 46 RUA. VILA CARAGUATA. 04191-160 São Paulo - SP.","-46.6055675"," -23.6478222","privada"
35155706,"AUBRICK ESCOLA BILINGUE MULTICULTURAL UNIDADE II","extinta_2021","3_privada_nao_conveniada",21,"CHANES, 142 RUA. INDIANOPOLIS. 04087-030 São Paulo - SP.","-46.6770223"," -23.6154418","privada"
35156747,"STIGLIANI CENTRO EDUCATIVO E CULTURAL","extinta_2021","3_privada_nao_conveniada",30,"RUA ADA NEGRI, 389 RUA. SANTO AMARO. 04755-000 São Paulo - SP.","-46.7133957"," -23.6488848","privada"
35156899,"ESC PART RISQUE E RABISQUE ESCOLA","paralisada_2021","3_privada_nao_conveniada",18,"RUA CHAMANTA, 698 VILA PRUDENTE. 03127-000 São Paulo - SP.","-46.58537"," -23.57683","privada"
35156905,"MARISA DONDA PROFESSORA ESCOLA DE PG","paralisada_2021","3_privada_nao_conveniada",19,"RUA SALVADOR TOLEZANO, 699 RUA. ALTO DO MANDAQUI. 02422-160 São Paulo - SP.","-46.6397041"," -23.4667696","privada"
35157685,"COLEGIO CENA","extinta_2021","3_privada_nao_conveniada",1,"AMAMBAI, 1609 RUA. VILA MARIA. 02115-002 São Paulo - SP.","-46.5828797"," -23.5148492","privada"
35158324,"ESC PART INTERMUNDI E E I","paralisada_2021","3_privada_nao_conveniada",32,"PRACA DO CENTENARIO, 136 CASA VERDE. 02515-040 São Paulo - SP.","-46.65642"," -23.50951","privada"
35158537,"ROSA MARIA COLEGIO EVOLUCAO","paralisada_2021","3_privada_nao_conveniada",6,"RUA ACOR, 99 RUA. SAO JOSE. 04837-090 São Paulo - SP.","-46.7025336"," -23.7423108","privada"
35163508,"NUCLEO DE RECREACAO INFANTIL URSINHO AZUL LTDA","paralisada_2021","3_privada_nao_conveniada",7,"RUA DOUTOR JOAO TONIOLO, 912 JARDIM SAO JOSE ZONA NORTE. 02969-000 São Paulo - SP.","-46.71311"," -23.48078","privada"
35164598,"ESCOLA QUINTAL E E I","paralisada_2021","3_privada_nao_conveniada",69,"RUA JOAQUIM CANDIDO DE AZEVEDO MARQUES, 1234 VILA MORUMBI. 05688-021 São Paulo - SP.","-46.71"," -23.61107","privada"
35170872,"PIPOQUINHA BERC E ESCOLA","paralisada_2021","3_privada_nao_conveniada",17,"ALAMEDA SARUTAIA, 61 JARDIM PAULISTA. 01403-010 São Paulo - SP.","-46.65279"," -23.57074","privada"
35171136,"SANJEAN E E I","paralisada_2021","3_privada_nao_conveniada",3,"AVENIDA MAESTRO VILLA LOBOS, 245 VILA GUSTAVO. 02266-000 São Paulo - SP.","-46.59978"," -23.47861","privada"
35171268,"ESTIMOARTE JARDIM ESCOLA","paralisada_2021","3_privada_nao_conveniada",61,"AVENIDA JULIO BUONO, 481 VILA GUSTAVO. 02201-000 São Paulo - SP.","-46.5974"," -23.49361","privada"
35175912,"COLEGIO LUDI MATER","extinta_2021","3_privada_nao_conveniada",1,"RENATO PAQUET MARECHAL, 618 RUA. CIDADE SAO MATEUS. 03959-010 São Paulo - SP.","-46.482951"," -23.5976836","privada"
35177180,"FONTE DO AMANHA COLEGIO","extinta_2021","3_privada_nao_conveniada",73,"RUA CARLOS GILBERTO CIAMPAGLIA, 286 RUA. VILA CURUCA. 08032-020 São Paulo - SP.","-46.4309805"," -23.5086388","privada"
35177246,"ESC PART ESTRIPO - LIPO N R I","paralisada_2021","3_privada_nao_conveniada",20,"RUA DO MANIFESTO, 1978 IPIRANGA. 04209-002 São Paulo - SP.","-46.59962"," -23.59023","privada"
35177374,"CHUVA DE ESTRELINHAS ESC DE RECR INF","paralisada_2021","3_privada_nao_conveniada",28,"RUA SAO DOMINGOS, 54 BELA VISTA. 01326-000 São Paulo - SP.","-46.64293"," -23.55258","privada"
35177520,"GRAMPINHA E E I","paralisada_2021","3_privada_nao_conveniada",17,"RUA DOS JACARANDAS MIMOSOS, 216 VILA NOVA MAZZEI. 02312-090 São Paulo - SP.","-46.60160768"," -23.46460429","privada"
35177581,"ESC PART MINI POLEGAR E E I","paralisada_2021","3_privada_nao_conveniada",18,"RUA SARGENTO ANTENOR TEIXEIRA, 77 77A. JABAQUARA. 04345-010 São Paulo - SP.","-46.64314"," -23.63856","privada"
35177647,"ESC PART URUPES E E I","paralisada_2021","3_privada_nao_conveniada",12,"AVENIDA JACINTO JULIO, 184/449 JARDIM SATELITE. 04815-160 São Paulo - SP.","-46.6940878966984"," -23.7059133115303","privada"
35178056,"ESC PART ADRIANA SODRE PROFESSORA","paralisada_2021","3_privada_nao_conveniada",72,"AVENIDA JOAO SIMAO DE CASTRO, 685 VILA SABRINA. 02141-000 São Paulo - SP.","-46.5731983"," -23.4939883","privada"
35178469,"ANCHIETA PE E E I","paralisada_2021","3_privada_nao_conveniada",28,"RUA MIGUEL JURNO, 81 73. JARDIM CELESTE. 05527-050 São Paulo - SP.","-46.75377"," -23.59805","privada"
35178482,"OCEANO E E I","paralisada_2021","3_privada_nao_conveniada",9,"RUA OTAVIO PEDREIRO ROSA, 199 JARDIM ESTER. 05372-000 São Paulo - SP.","-46.76095"," -23.58352","privada"
35178494,"PIPOCA E SAPECA DE SAO DOMINGOS","paralisada_2021","3_privada_nao_conveniada",21,"RUA DOUTOR CARMINO CAPRICCHIO, 69 VILA TIRADENTES. 05368-000 São Paulo - SP.","-46.75126"," -23.577","privada"
35178548,"SUN PORT - PORTO DO SOL COLEGIO","extinta_2021","3_privada_nao_conveniada",3,"COMENDADOR ELIAS ASSI, 365 RUA. CAXINGUI. 05516-000 São Paulo - SP.","-46.7181212"," -23.5823207","privada"
35180877,"CEI DOM JOSE GASPAR","extinta_2021","2_privada_conveniada",113,"AUREA BATISTA DOS SANTOS, 703 VILA MORSE. 05623-000 São Paulo - SP.","-46.7258"," -23.6004","pública ou conveniada"
35187197,"LUCKESI COLEGIO","paralisada_2021","3_privada_nao_conveniada",22,"RUA ANTONIO D AMIN, 237 RUA. ITAIM PAULISTA. 08122-190 São Paulo - SP.","-46.3788927"," -23.493155","privada"
35191711,"LIBERDADE COLEGIO UNIDADE II","paralisada_2021","3_privada_nao_conveniada",70,"RUA INHABATA, 65 RUA. SAO MIGUEL PAULISTA. 08010-420 São Paulo - SP.","-46.4347511"," -23.494625","privada"
